Capacity,MonthlyPrice,StartDay,EndDay
1,600,7/1/2014,
1,400,4/2/2014,
1,400,5/1/2014,
5,2800,3/1/2014,4/30/2014
2,1500,5/1/2014,6/30/2014
4,1700,4/1/2014,
3,1300,4/1/2014,
15,6500,5/1/2014,8/31/2014
1,400,5/1/2014,
1,400,5/1/2014,
3,1400,5/1/2014,
18,7200,5/1/2014,
1,800,6/1/2014,
1,700,5/1/2014,6/30/2014
2,1250,4/16/2014,6/2/2014
1,600,11/1/2013,5/31/2014
8,4000,6/2/2014,7/31/2014
2,1300,5/1/2014,10/31/2014
4,2200,5/1/2014,
14,11875,6/1/2014,
2,1500,5/1/2014,8/31/2014
2,1500,6/1/2012,
3,1850,4/9/2014,8/6/2014
2,1100,5/1/2014,9/30/2014
1,625,4/11/2014,
1,1000,2/14/2014,
1,400,5/1/2014,
6,3600,4/2/2014,
2,950,2/1/2013,5/31/2014
4,2500,6/1/2013,4/30/2014
2,1200,7/1/2014,8/31/2014
1,950,6/1/2014,8/31/2014
4,3200,4/1/2014,9/30/2014
1,400,3/27/2014,4/10/2014
4,2600,2/1/2014,4/8/2014
11,5500,5/1/2014,
2,1200,5/1/2014,7/2/2014
1,600,5/1/2014,7/31/2014
1,800,11/1/2013,4/30/2014
1,700,5/1/2013,
2,900,7/1/2014,8/31/2014
2,1400,4/2/2014,
2,1500,5/1/2014,
2,1200,5/1/2014,
2,1500,5/1/2014,10/31/2014
2,900,2/1/2014,
1,400,4/14/2014,
2,900,1/1/2014,6/30/2014
2,1000,12/1/2013,6/30/2014
9,4500,2/6/2014,4/30/2014
4,2500,8/1/2013,
6,2900,5/1/2013,5/31/2014
1,600,4/9/2014,
2,1700,2/14/2014,4/30/2014
2,900,7/1/2014,
1,400,5/1/2014,10/31/2014
2,0,4/15/2014,5/1/2014
4,2500,5/1/2014,
4,3600,5/1/2014,
9,4950,5/1/2014,
2,1100,5/12/2014,
6,2700,5/1/2014,8/31/2014
16,350,4/1/2014,8/31/2014
2,1300,10/1/2012,
1,950,6/1/2014,6/8/2014
3,2000,6/1/2014,6/30/2014
8,3600,7/8/2014,
6,5400,5/12/2014,
4,2700,9/1/2013,
4,2600,6/1/2012,5/31/2014
4,2700,7/1/2012,4/30/2014
1,450,4/2/2014,
4,2700,4/1/2014,4/30/2014
4,2200,6/1/2014,10/31/2014
